,Feature,Correlation
29,leasing_contracts__vehiclegroup06__end_meanbymonth,0.34802778115087774
30,sales_actuals_monthly__vehiclegroup27__orderintake_medianbymonth,0.3453861876452653
31,customer_vehicle_relationships__vehiclegroup16__active_cars_meanbymonth,0.33754567040051536
32,customer_vehicle_relationships__vehiclegroup38__active_cars_meanbymonth,0.33754567040051536
33,sales_actuals_monthly__vehiclegroup04__orderintake_interpolated_linear,0.3350675873528151
34,global_economy__nominal_statistical_discrepancy_euro__euro,0.33065137198344247
35,global_economy__nominal_statistical_discrepancy_lcu__euro,0.33065137198344247
36,customer_vehicle_relationships__vehiclegroup37__active_cars,0.33063427451935606
37,global_economy__nominal_statistical_discrepancy_ppp__u_s_dollar,0.3305732649389021
38,premises__vehiclegroup57__flag_order_start_meanbymonth,0.3299311418828957
39,global_economy__nominal_statistical_discrepancy_us__u_s_dollar,0.3272628396763459
40,registrations__volkswagensegment_luxus_meanbymonth,0.32575406691163394
41,customer_vehicle_relationships__vehiclegroup04__active_cars_meanbymonth,0.3250692215766466
42,leasing_contracts__vehiclegroup47__end_meanbymonth,0.3212072906839526
43,sales_flow_monthly__vehiclegroup44__cp8_meanbymonth,0.31862393544580536
44,customer_vehicle_relationships__vehiclegroup27__active_cars_interpolated_linear,0.31214098559596837
45,premises__vehiclegroup42__in_sales_meanbymonth,0.31097991327270086
46,sales_actuals_monthly__vehiclegroup02__retail,0.3105713897679955
47,customer_vehicle_relationships__vehiclegroup12__active_cars_interpolated_linear,0.30955208500556586
48,customer_vehicle_relationships__vehiclegroup11__active_cars_meanbymonth,0.30783235024398425
49,customer_vehicle_relationships__vehiclegroup32__active_cars_meanbymonth,0.30783235024398425
50,customer_vehicle_relationships__vehiclegroup08__active_cars,0.306913184394198
51,global_economy__bop_other_investment_asset_debit_capital_outflow_euro__euro,0.305863334712546
52,global_economy__bop_other_investment_asset_debit_capital_outflow_lcu__euro,0.305863334712546
53,leads__vehiclegroup01__first_touch_point_interpolation_spline,0.29528672636922976
54,customer_vehicle_relationships__vehiclegroup25__terminated_cars_meanbymonth,0.29278096000840753
55,registrations__porschesegment_macan_meanbymonth,0.29105926629358364
56,global_economy__bop_other_investment_liability_credit_capital_inflow_euro__euro,0.2901090695076878
57,global_economy__bop_other_investment_liability_credit_capital_inflow_lcu__euro,0.2901090695076878
58,customer_vehicle_relationships__vehiclegroup63__terminated_cars_meanbymonth,0.28878118368279065
59,global_economy__bop_direct_investment_asset_debit_capital_outflow_euro__euro,0.28601992654511477
60,global_economy__bop_direct_investment_asset_debit_capital_outflow_lcu__euro,0.28601992654511477
61,sales_stock_monthly__vehiclegroup09__physical_meanbymonth,0.28528894744457856
62,sales_stock_monthly__vehiclegroup29__physical_meanbymonth,0.28528894744457856
63,customer_vehicle_relationships__vehiclegroup64__active_cars_interpolated_linear,0.28351594995625373
64,registrations__buildtype_cabrio_interpolated_linear,0.28338105965550475
65,customer_vehicle_relationships__vehiclegroup02__active_cars,0.2825335970945542
66,sales_actuals_monthly__vehiclegroup04__retail_medianbymonth,0.2811840761770444
67,customer_vehicle_relationships__vehiclegroup31__active_cars_interpolated_linear,0.28118248459336914
68,leads__vehiclegroup05__lost_meanbymonth,0.2774441113253048
69,sales_actuals_monthly__vehiclegroup13__retail_fill_zero,0.27574837135704444
70,sales_actuals_monthly__vehiclegroup34__retail_fill_zero,0.27574837135704444
71,sales_stock_monthly__vehiclegroup09__grossall_meanbymonth,0.2745601591860086
72,sales_stock_monthly__vehiclegroup29__grossall_meanbymonth,0.2745601591860086
73,registrations__buildtype_pickup_meanbymonth,0.27430376871624373
74,customer_vehicle_relationships__vehiclegroup06__terminated_cars_medianbymonth,0.2729421202650329
75,sales_actuals_monthly__vehiclegroup50__orderintake_meanbymonth,0.27186824066775134
76,sales_actuals_monthly__vehiclegroup64__orderintake_fill_zero,0.27165353265880793
77,sales_actuals_monthly__vehiclegroup07__retail,0.2695546082442257
78,sales_actuals_monthly__vehiclegroup26__retail,0.2695546082442257
79,customer_vehicle_relationships__vehiclegroup02__terminated_cars,0.2689930395604511
80,sales_actuals_monthly__vehiclegroup08__retail,0.2660247895349081
81,leasing_contracts__vehiclegroup63__end_meanbymonth,0.26439516140644825
82,customer_vehicle_relationships__vehiclegroup13__terminated_cars,0.2641391426288163
83,customer_vehicle_relationships__vehiclegroup34__terminated_cars,0.2641391426288163
84,quota__vehiclegroup35__aq_interpolation_spline,0.26355217805235076
85,sales_stock_monthly__vehiclegroup61__physical_meanbymonth,0.2634648690277027
86,leasing_contracts__vehiclegroup25__end_medianbymonth,0.2634050921693784
87,leasing_contracts__vehiclegroup24__end_meanbymonth,0.26295760691423176
88,global_consumer__total_population_20_to_24,0.2605729766152431
89,sales_stock_monthly__vehiclegroup53__physical_interpolation_spline,0.26022357017585207
90,sales_stock_monthly__vehiclegroup61__grossall_meanbymonth,0.2596203455225996
91,customer_vehicle_relationships__vehiclegroup10__active_cars_meanbymonth,0.2590217835766026
92,customer_vehicle_relationships__vehiclegroup30__active_cars_meanbymonth,0.2590217835766026
93,sales_actuals_monthly__vehiclegroup37__retail_meanbymonth,0.25534958250212364
94,leasing_contracts__vehiclegroup58__end_medianbymonth,0.25497838229127956
95,sales_stock_monthly__vehiclegroup45__physical_interpolation_spline,0.2549489450938647
96,customer_vehicle_relationships__vehiclegroup08__terminated_cars,0.2548288895767816
97,customer_vehicle_relationships__vehiclegroup50__active_cars_meanbymonth,0.25482340415475807
98,premises__vehiclegroup18__in_sales_meanbymonth,0.25479228387169367
99,sales_actuals_monthly__vehiclegroup31__orderintake_meanbymonth,0.25441862121996267
100,global_economy__index_retail_sales_real_volume__index,0.2544084127674069
101,sales_stock_monthly__vehiclegroup24__physical_interpolated_linear,0.2542400673816405
102,sales_stock_monthly__vehiclegroup40__physical_interpolation_spline,0.25316732584500823
103,customer_vehicle_relationships__vehiclegroup24__terminated_cars_meanbymonth,0.25252566546935495
104,leads__vehiclegroup05__first_touch_point_medianbymonth,0.25188557814252116
105,sales_stock_monthly__vehiclegroup44__grossall_interpolation_spline,0.25187090220956854
106,sales_stock_monthly__vehiclegroup62__physical_interpolated_linear,0.25132441767071234
107,registrations__porschesegment_911_interpolated_linear,0.2513082804537376
108,sales_stock_monthly__vehiclegroup02__physical_interpolated_linear,0.2509045470153031
109,sales_actuals_monthly__vehiclegroup53__retail_meanbymonth,0.25029772006157974
110,sales_flow_monthly__vehiclegroup02__cp8_medianbymonth,0.2498260842571277
111,global_consumer__male_population_20_to_24,0.24969790540291087
112,premises__vehiclegroup46__in_sales_meanbymonth,0.24966532635691635
113,sales_stock_monthly__vehiclegroup44__physical_interpolation_spline,0.2488020405447596
114,global_consumer__female_population_45_to_49,0.24802283777836306
115,global_consumer__total_population_45_to_49,0.24799360574661433
116,global_consumer__male_population_45_to_49,0.24795396483719193
117,premises__vehiclegroup03__in_sales_meanbymonth,0.24764838593699517
118,customer_vehicle_relationships__vehiclegroup07__active_cars,0.24663872100291628
119,customer_vehicle_relationships__vehiclegroup26__active_cars,0.24663872100291628
120,leasing_contracts__vehiclegroup57__end_medianbymonth,0.24627249318278516
121,sales_stock_monthly__vehiclegroup35__grossall_fill_zero,0.24591924769645573
122,registrations__porschesegment_boxster_cayman_fill_zero,0.24540302666735994
123,premises__vehiclegroup19__in_sales_meanbymonth,0.24512294627393755
124,customer_vehicle_relationships__vehiclegroup61__terminated_cars_medianbymonth,0.24512074481481877
125,sales_actuals_monthly__vehiclegroup10__retail_medianbymonth,0.2448609422806951
126,sales_actuals_monthly__vehiclegroup30__retail_medianbymonth,0.2448609422806951
127,registrations__vwm_luxus_lamborghini_fill_zero,0.24450643529960017
128,customer_vehicle_relationships__vehiclegroup01__terminated_cars,0.2443729762773334
129,leads__vehiclegroup05__won_medianbymonth,0.2443174922417814
